page_number,line_number,line_type,is_centered,first_word_id,last_word_id,surah_number
"1","1",surah_name,"1","0","0","1"
"1","2",ayah,"1","1","5","0"
"1","3",ayah,"1","6","10","0"
"1","4",ayah,"1","11","17","0"
"1","5",ayah,"1","18","23","0"
"1","6",ayah,"1","24","29","0"
"1","7",ayah,"1","30","33","0"
"1","8",ayah,"1","34","36","0"
"2","1",surah_name,"1","0","0","2"
"2","2",basmallah,"1","0","0","0"
"2","3",ayah,"1","37","44","0"
"2","4",ayah,"1","45","51","0"
"2","5",ayah,"1","52","59","0"
"2","6",ayah,"1","60","68","0"
"2","7",ayah,"1","69","74","0"
"2","8",ayah,"1","75","77","0"
"3","1",ayah,"0","78","86","0"
"3","2",ayah,"0","87","96","0"
"3","3",ayah,"0","97","104","0"
"3","4",ayah,"0","105","114","0"
"3","5",ayah,"0","115","122","0"
"3","6",ayah,"0","123","131","0"
"3","7",ayah,"0","132","141","0"
"3","8",ayah,"0","142","152","0"
"3","9",ayah,"0","153","161","0"
"3","10",ayah,"0","162","170","0"
"3","11",ayah,"0","171","180","0"
"3","12",ayah,"0","181","190","0"
"3","13",ayah,"0","191","199","0"
"3","14",ayah,"0","200","207","0"
"3","15",ayah,"0","208","215","0"
"4","1",ayah,"0","216","224","0"
"4","2",ayah,"0","225","234","0"
"4","3",ayah,"0","235","245","0"
"4","4",ayah,"0","246","253","0"
"4","5",ayah,"0","254","262","0"
"4","6",ayah,"0","263","272","0"
"4","7",ayah,"0","273","282","0"
"4","8",ayah,"0","283","291","0"
"4","9",ayah,"0","292","301","0"
"4","10",ayah,"0","302","310","0"
"4","11",ayah,"0","311","320","0"
"4","12",ayah,"0","321","331","0"
"4","13",ayah,"0","332","340","0"
"4","14",ayah,"0","341","350","0"
"4","15",ayah,"0","351","357","0"
"5","1",ayah,"0","358","365","0"
"5","2",ayah,"0","366","374","0"
"5","3",ayah,"0","375","384","0"
"5","4",ayah,"0","385","393","0"
"5","5",ayah,"0","394","404","0"
"5","6",ayah,"0","405","412","0"
"5","7",ayah,"0","413","420","0"
"5","8",ayah,"0","421","429","0"
"5","9",ayah,"0","430","438","0"
"5","10",ayah,"0","439","447","0"
"5","11",ayah,"0","448","454","0"
"5","12",ayah,"0","455","461","0"
"5","13",ayah,"0","462","470","0"
"5","14",ayah,"0","471","479","0"
"5","15",ayah,"0","480","487","0"
"6","1",ayah,"0","488","497","0"
"6","2",ayah,"0","498","506","0"
"6","3",ayah,"0","507","517","0"
"6","4",ayah,"0","518","525","0"
"6","5",ayah,"0","526","534","0"
"6","6",ayah,"0","535","547","0"
"6","7",ayah,"0","548","555","0"
"6","8",ayah,"0","556","564","0"
"6","9",ayah,"0","565","573","0"
"6","10",ayah,"0","574","583","0"
"6","11",ayah,"0","584","592","0"
"6","12",ayah,"0","593","602","0"
"6","13",ayah,"0","603","611","0"
"6","14",ayah,"0","612","622","0"
"6","15",ayah,"0","623","633","0"
"7","1",ayah,"0","634","643","0"
"7","2",ayah,"0","644","653","0"
"7","3",ayah,"0","654","662","0"
"7","4",ayah,"0","663","671","0"
"7","5",ayah,"0","672","680","0"
"7","6",ayah,"0","681","690","0"
"7","7",ayah,"0","691","700","0"
"7","8",ayah,"0","701","708","0"
"7","9",ayah,"0","709","715","0"
"7","10",ayah,"0","716","723","0"
"7","11",ayah,"0","724","731","0"
"7","12",ayah,"0","732","741","0"
"7","13",ayah,"0","742","750","0"
"7","14",ayah,"0","751","761","0"
"7","15",ayah,"0","762","773","0"
"8","1",ayah,"0","774","781","0"
"8","2",ayah,"0","782","788","0"
"8","3",ayah,"0","789","797","0"
"8","4",ayah,"0","798","806","0"
"8","5",ayah,"0","807","815","0"
"8","6",ayah,"0","816","825","0"
"8","7",ayah,"0","826","833","0"
"8","8",ayah,"0","834","842","0"
"8","9",ayah,"0","843","849","0"
"8","10",ayah,"0","850","858","0"
"8","11",ayah,"0","859","869","0"
"8","12",ayah,"0","870","877","0"
"8","13",ayah,"0","878","885","0"
"8","14",ayah,"0","886","893","0"
"8","15",ayah,"0","894","902","0"
"9","1",ayah,"0","903","911","0"
"9","2",ayah,"0","912","919","0"
"9","3",ayah,"0","920","925","0"
"9","4",ayah,"0","926","935","0"
"9","5",ayah,"0","936","944","0"
"9","6",ayah,"0","945","951","0"
"9","7",ayah,"0","952","961","0"
"9","8",ayah,"0","962","971","0"
"9","9",ayah,"0","972","981","0"
"9","10",ayah,"0","982","990","0"
"9","11",ayah,"0","991","997","0"
"9","12",ayah,"0","998","1007","0"
"9","13",ayah,"0","1008","1014","0"
"9","14",ayah,"0","1015","1022","0"
"9","15",ayah,"0","1023","1031","0"
"10","1",ayah,"0","1032","1039","0"
"10","2",ayah,"0","1040","1048","0"
"10","3",ayah,"0","1049","1058","0"
"10","4",ayah,"0","1059","1065","0"
"10","5",ayah,"0","1066","1074","0"
"10","6",ayah,"0","1075","1084","0"
"10","7",ayah,"0","1085","1093","0"
"10","8",ayah,"0","1094","1102","0"
"10","9",ayah,"0","1103","1111","0"
"10","10",ayah,"0","1112","1120","0"
"10","11",ayah,"0","1121","1129","0"
"10","12",ayah,"0","1130","1142","0"
"10","13",ayah,"0","1143","1152","0"
"10","14",ayah,"0","1153","1164","0"
"10","15",ayah,"0","1165","1173","0"
"11","1",ayah,"0","1174","1186","0"
"11","2",ayah,"0","1187","1198","0"
"11","3",ayah,"0","1199","1208","0"
"11","4",ayah,"0","1209","1217","0"
"11","5",ayah,"0","1218","1226","0"
"11","6",ayah,"0","1227","1235","0"
"11","7",ayah,"0","1236","1245","0"
"11","8",ayah,"0","1246","1255","0"
"11","9",ayah,"0","1256","1265","0"
"11","10",ayah,"0","1266","1276","0"
"11","11",ayah,"0","1277","1285","0"
"11","12",ayah,"0","1286","1295","0"
"11","13",ayah,"0","1296","1304","0"
"11","14",ayah,"0","1305","1313","0"
"11","15",ayah,"0","1314","1321","0"
"12","1",ayah,"0","1322","1331","0"
"12","2",ayah,"0","1332","1340","0"
"12","3",ayah,"0","1341","1348","0"
"12","4",ayah,"0","1349","1358","0"
"12","5",ayah,"0","1359","1367","0"
"12","6",ayah,"0","1368","1376","0"
"12","7",ayah,"0","1377","1385","0"
"12","8",ayah,"0","1386","1396","0"
"12","9",ayah,"0","1397","1403","0"
"12","10",ayah,"0","1404","1410","0"
"12","11",ayah,"0","1411","1419","0"
"12","12",ayah,"0","1420","1427","0"
"12","13",ayah,"0","1428","1433","0"
"12","14",ayah,"0","1434","1440","0"
"12","15",ayah,"0","1441","1447","0"
